ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789648073,10239.0414,2583.4969,7655.5445,3,12.5747,6.2855
1789651407,10199.0502,5129.3563,5069.6938,2,15.1231,7.5603
1789655075,10250.4386,5129.3563,5121.0823,2,15.1231,7.5603
1789658609,10196.2951,5129.3563,5066.9387,2,15.1231,7.5603
1789662205,10227.5579,5129.3563,5098.2016,2,15.1231,7.5603
1789665590,10236.5243,5129.3563,5107.168,2,15.1231,7.5603
1789669514,10224.0923,5129.3563,5094.736,2,15.1231,7.5603
1789672836,10212.5628,5129.3563,5083.2065,2,15.1231,7.5603
1789676555,10229.2205,5129.3563,5099.8641,2,15.1231,7.5603
1789680105,10210.9533,5129.3563,5081.5969,2,15.1231,7.5603
1789683635,10181.7056,5129.3563,5052.3493,2,15.1231,7.5603
1789687123,10215.0604,5129.3563,5085.7041,2,15.1231,7.5603
1789691299,10206.759,5129.3563,5077.4027,2,15.1231,7.5603
1789694454,10268.4518,7754.5757,2513.8761,1,17.7509,8.8749
1789698191,10273.4164,7754.5757,2518.8407,1,17.7509,8.8749
1789701706,10289.766,10289.766,0,0,20.2887,10.1444
1789705338,10289.766,10289.766,0,0,20.2887,10.1444
1789708837,10289.766,10289.766,0,0,20.2887,10.1444
1789712814,10289.766,10289.766,0,0,20.2887,10.1444
1789716125,10289.766,10289.766,0,0,20.2887,10.1444
1789719788,10289.766,10289.766,0,0,20.2887,10.1444
1789723344,10289.766,10289.766,0,0,20.2887,10.1444
1789726939,10289.766,10289.766,0,0,20.2887,10.1444
1789730465,10289.766,10289.766,0,0,20.2887,10.1444
1789734362,10289.766,10289.766,0,0,20.2887,10.1444
1789737680,10289.766,10289.766,0,0,20.2887,10.1444
1789741323,10289.766,10289.766,0,0,20.2887,10.1444
1789744915,10289.766,10289.766,0,0,20.2887,10.1444
1789748456,10289.766,10289.766,0,0,20.2887,10.1444
1789751959,10289.766,10289.766,0,0,20.2887,10.1444
1789755837,10289.766,10289.766,0,0,20.2887,10.1444
1789759230,10289.766,10289.766,0,0,20.2887,10.1444
