ts,account,pair,side,qty,price,ref_price,notional,fee,slippage_cost,reason,equity_after,half_spread_bps,slip_bps
1789705338,champion,DOT,sell,1111.48892883,1.12628658,1.12685,1251.8550588,1.25185506,0.62624065,stay long: 72h return +12.99% vs exit band -1.0% and price above 24h EMA; realised vol 85% -> weight 0.25,10303.60756304,2.2185739,5.0
1789705338,champion,LTC,sell,19.88498674,54.459102,54.49,1082.91852093,1.08291852,0.61440632,stay long: 72h return +3.27% vs exit band -1.0% and price above 24h EMA; realised vol 52% -> weight 0.25,10301.91023819,3.67039824,5.67039824
1789708837,champion,SOL,buy,13.9531213,105.8078775,105.755,1476.35014915,1.47635015,0.73780617,enter long: 72h return +4.35% vs entry band +1.0% and price above 24h EMA; realised vol 56% -> weight 0.25,10332.23688775,0.47279088,5.0
1789708837,champion,DOGE,buy,10108.01038314,0.08446356,0.08442135,853.7585483,0.85375855,0.42666594,stay long: 72h return +1.57% vs exit band -1.0% and price above 24h EMA; realised vol 54% -> weight 0.25,10330.95646326,0.34943767,5.0
1789806156,champion,DOT,sell,1306.72092877,1.11407704,1.1148,1455.78778443,1.45578778,0.94470696,exit: price more than 2.0% below 24h EMA,10790.06477857,4.48510944,6.48510944
1789809677,champion,BTC,buy,0.01480354,81506.182725,81465.45,1206.58018888,1.20658019,0.6029886,enter long: 72h return +7.43% vs entry band +1.0% and price above 24h EMA; realised vol 34% -> weight 0.25,10857.41213113,0.00613757,5.0
1789809677,champion,ETH,buy,0.09281756,2653.5811275,2652.255,246.29892865,0.24629893,0.12308792,enter long: 72h return +10.13% vs entry band +1.0% and price above 24h EMA; realised vol 43% -> weight 0.25,10857.04274428,0.01885188,5.0
1789820804,champion,AVAX,sell,66.57701031,9.09594975,9.1005,605.5811403,0.60558114,0.30294204,stay long: 72h return +27.32% vs exit band -1.0% and price above 24h EMA; realised vol 74% -> weight 0.25,10918.08851036,1.64826108,5.0
1789820804,champion,XRP,buy,422.40678109,1.43078003,1.430065,604.37118797,0.60437119,0.30203458,enter long: 72h return +10.71% vs entry band +1.0% and price above 24h EMA; realised vol 80% -> weight 0.25,10917.18210459,0.03496345,5.0
1789874526,champion,SOL,sell,13.9531213,108.7206125,108.775,1516.99189392,1.51699189,0.75887538,exit: price more than 2.0% below 24h EMA,10778.49062159,0.45966444,5.0
1789874526,champion,ADA,sell,6882.97358582,0.22233051,0.2224575,1530.29501733,1.53029502,0.87407914,exit: price more than 2.0% below 24h EMA,10776.08624743,3.70857355,5.70857355
1789874526,champion,AVAX,buy,159.56981283,9.64431975,9.6395,1538.94229738,1.5389423,0.76908661,stay long: 72h return +26.52% vs exit band -1.0% and price above 24h EMA; realised vol 95% -> weight 0.25,10773.77821853,1.55609731,5.0
1789874526,champion,LINK,sell,125.49443982,12.0916802,12.098995,1517.43863331,1.51743863,0.9179666,exit: price more than 2.0% below 24h EMA,10771.34281329,4.04579058,6.04579058
1789874526,champion,XRP,sell,422.40678109,1.38396267,1.384655,584.59521763,0.58459522,0.29244383,exit: price more than 2.0% below 24h EMA,10770.46577424,0.54165117,5.0
1789874526,champion,DOGE,sell,17308.8889941,0.08597239,0.0860154,1488.08659488,1.48808659,0.74441551,exit: price more than 2.0% below 24h EMA,10768.23327214,1.69737047,5.0
1789874526,champion,LTC,buy,19.90103642,57.4537125,57.425,1143.38842494,1.14338842,0.57140851,stay long: 72h return +8.98% vs exit band -1.0% and price within 2.0% of 24h EMA; realised vol 55% -> weight 0.25,10766.51847521,2.61210274,5.0
1789878133,champion,BTC,buy,0.0185502,80368.414125,80328.25,1490.8503698,1.49085037,0.74505266,stay long: 72h return +5.36% vs exit band -1.0% and price within 2.0% of 24h EMA; realised vol 35% -> weight 0.25,10717.73602603,0.00622446,5.0
1789878133,champion,ETH,buy,0.94521523,2581.9153125,2580.625,2440.46566344,2.44046566,1.21962302,stay long: 72h return +6.30% vs exit band -1.0% and price within 2.0% of 24h EMA; realised vol 45% -> weight 0.25,10714.07593735,0.01937515,5.0
